(1)Avanti Sensor,,,
EMG 1 (1925.926),ACC X (148.148),ACC Y (148.148),ACC Z (148.148)
0.0,0.90625,-0.25,0.28125
0.0,0.90625,-0.25,0.28125
0.0,0.90625,-0.25,0.28125
0.0,0.875,-0.25,0.28125
0.0,0.875,-0.25,0.3125
0.0,0.875,-0.25,0.28125
0.0,0.875,-0.25,0.28125
0.0,0.875,-0.28125,0.25
0.0,0.875,-0.25,0.25
0.0,0.90625,-0.28125,0.25
0.0,0.90625,-0.28125,0.25
0.0,0.90625,-0.28125,0.25
0.0,0.90625,-0.28125,0.25
0.0,0.90625,-0.28125,0.25
0.0,0.90625,-0.28125,0.21875
0.0,0.90625,-0.28125,0.25
0.0,0.875,-0.28125,0.25
0.0,0.875,-0.28125,0.25
0.0,0.875,-0.25,0.21875
0.0,0.90625,-0.375,0.25
0.0,0.90625,-0.375,0.25
0.0,0.875,-0.34375,0.25
0.0,0.875,-0.3125,0.25
0.0,0.84375,-0.34375,0.25
0.0,0.84375,-0.375,0.28125
0.0,0.84375,-0.375,0.28125
0.0,0.84375,-0.34375,0.25
